
Office Supplies,5/11/2016,6744,651.21
Beverages,5/1/2013,9648,47.45
Snacks,2/4/2011,6054,152.58
Personal Care,2/13/2011,8623,81.73
Clothes,2/24/2012,7047,109.28
Personal Care,12/29/2013,3050,81.73
Personal Care,9/30/2013,5387,81.73
Snacks,2/19/2017,4844,152.58
Household,1/8/2012,9238,668.27
Baby Food,1/16/2010,8418,255.28
Cereal,7/22/2012,9264,205.70
Meat,5/26/2014,686,421.89
Meat,4/8/2015,8628,421.89
Meat,12/1/2015,1063,421.89
Meat,5/20/2014,2996,421.89
Snacks,5/5/2017,1463,152.58
Vegetables,8/8/2013,531,154.06
Cosmetics,10/3/2015,6299,437.20
Baby Food,12/12/2010,1897,255.28
Baby Food,2/11/2010,2486,255.28
Office Supplies,11/23/2013,258,651.21
Vegetables,6/4/2016,9438,154.06
Baby Food,9/6/2016,1279,255.28
Fruits,9/20/2014,9068,9.33
Cereal,6/7/2015,3123,205.70
Fruits,3/19/2017,5792,9.33
Personal Care,9/26/2015,6454,81.73
Clothes,4/21/2015,6522,109.28
Office Supplies,7/2/2017,4437,651.21
Beverages,5/31/2017,673,47.45
Baby Food,12/19/2014,2736,255.28
Clothes,2/26/2011,160,109.28
Household,10/29/2011,9514,668.27
Snacks,4/24/2016,9395,152.58
Office Supplies,9/1/2013,5435,651.21
Meat,9/17/2016,5294,421.89
Cereal,10/31/2012,3665,205.70
Baby Food,3/16/2013,7270,255.28
Cosmetics,2/16/2011,9866,437.20
Cosmetics,2/13/2016,7238,437.20
Snacks,3/31/2012,2203,152.58
Clothes,12/13/2014,9611,109.28
Vegetables,3/18/2014,1340,154.06
Baby Food,3/27/2016,1303,255.28
Fruits,12/5/2016,441,9.33
Fruits,4/6/2013,1729,9.33
Cosmetics,8/19/2014,5170,437.20
Fruits,5/9/2016,2802,9.33
Office Supplies,1/8/2011,3692,651.21
Household,1/4/2015,8937,668.27
Baby Food,9/8/2011,6669,255.28
Cereal,10/7/2015,7048,205.70
Household,7/14/2016,7267,668.27
Office Supplies,11/28/2011,6548,651.21
Beverages,3/24/2012,1148,47.45
Household,10/4/2013,9353,668.27
Cosmetics,1/15/2010,6479,437.20
Meat,10/26/2010,9875,421.89
Fruits,7/23/2015,3921,9.33
Vegetables,3/13/2017,5029,154.06
Cereal,7/18/2013,6641,205.70
Vegetables,1/13/2011,4229,154.06
Cosmetics,5/20/2013,300,437.20
Fruits,3/23/2010,9390,9.33
Household,3/13/2011,3065,668.27
Beverages,11/4/2011,4924,47.45
Snacks,7/28/2012,5598,152.58
Household,11/7/2014,7747,668.27
Fruits,6/4/2017,1064,9.33
Household,7/14/2012,7272,668.27
Meat,5/31/2012,5126,421.89
Clothes,3/21/2015,5413,109.28
Snacks,5/19/2016,5950,152.58
Household,5/26/2012,6585,668.27
Office Supplies,3/13/2012,4198,651.21
Clothes,8/14/2010,7701,109.28
Snacks,12/3/2014,3035,152.58
Fruits,9/23/2010,8175,9.33
Clothes,3/20/2011,8126,109.28
Beverages,6/26/2015,9923,47.45
Office Supplies,5/5/2012,7633,651.21
Meat,5/20/2014,7357,421.89
Clothes,4/29/2016,2222,109.28
Office Supplies,12/18/2013,7391,651.21
Household,7/4/2015,5056,668.27
Clothes,1/31/2015,9440,109.28
Household,9/6/2011,1799,668.27
Office Supplies,12/1/2012,5419,651.21
Baby Food,2/15/2016,616,255.28
Cosmetics,2/12/2012,9740,437.20
Clothes,9/16/2011,2170,109.28
Fruits,8/22/2011,9318,9.33
Personal Care,6/29/2013,9625,81.73
Baby Food,5/6/2012,3567,255.28
Cereal,9/14/2015,8647,205.70
Cereal,12/26/2016,4401,205.70
Meat,6/21/2014,7397,421.89
Office Supplies,1/23/2015,6234,651.21
Baby Food,5/19/2015,6542,255.28
Cosmetics,2/8/2013,5981,437.20
Cosmetics,10/10/2010,9244,437.20
Household,12/25/2011,3054,668.27
Household,6/9/2014,9370,668.27
Household,11/4/2016,477,668.27
Beverages,7/17/2017,9340,47.45
Fruits,2/2/2014,7837,9.33
Snacks,9/9/2012,9880,152.58
Fruits,10/27/2016,6411,9.33
Meat,11/20/2015,403,421.89
Cereal,9/14/2011,1863,205.70
Beverages,9/25/2014,2824,47.45
Cereal,7/28/2017,2356,205.70
Personal Care,11/16/2013,1557,81.73
Vegetables,4/21/2017,8556,154.06
Baby Food,4/12/2012,3516,255.28
Meat,10/22/2010,3627,421.89
Vegetables,10/21/2010,8114,154.06
Fruits,1/14/2015,3231,9.33
Meat,3/13/2012,7266,421.89
Household,12/20/2010,5534,668.27
Cereal,7/13/2013,5386,205.70
Baby Food,10/8/2011,1200,255.28
Meat,10/9/2013,9387,421.89
Snacks,5/5/2017,3391,152.58
Beverages,10/10/2013,8685,47.45
Snacks,5/10/2014,7774,152.58
Fruits,4/17/2016,5193,9.33
Cosmetics,1/28/2014,2511,437.20
Cosmetics,10/29/2010,3325,437.20
Beverages,7/10/2014,8267,47.45
Baby Food,6/26/2011,9996,255.28
Beverages,7/20/2011,4618,47.45
